path,sz,dt,latlong
/mnt/4C74F47B74F468DA/Pictures/IMG_2872-2014-06-03 163046.JPG,1664066,2014:06:03 11:30:46,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2873-2014-06-03 163146.JPG,2162724,2014:06:03 11:31:45,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2873-2018-07-03 021259.JPG,736222,2018:07:02 20:45:57,"(35.95540555555556, -86.7977138888889)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2874-2014-06-03 163208.JPG,2239953,2014:06:03 11:32:08,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2875-2014-06-03 163215.JPG,1778056,2014:06:03 11:32:15,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2876-2014-06-03 163249.JPG,1891721,2014:06:03 11:32:49,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2877-2014-06-03 163337.JPG,1675194,2014:06:03 11:33:36,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2878-2014-06-03 163339.JPG,2131445,2014:06:03 11:33:39,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2880-2014-06-06 181209.JPG,1959811,2014:06:06 13:12:08,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2880-2020-05-22 133720.JPG,1016342,2018:07:04 12:49:01,"(35.95849166666667, -86.8021)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2881-2014-06-06 181218.JPG,1995075,2014:06:06 13:12:18,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2881-2020-05-22 133719.JPG,1122879,2018:07:04 20:56:03,"(35.97846944444445, -86.776025)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2882-2019-08-25 021835.JPG,1129680,2018:07:04 20:56:51,"(35.97848888888889, -86.77599444444445)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2883-2014-06-09 002524.JPG,2060419,2014:06:08 19:25:23,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2883-2019-08-25 022029.JPG,1273616,2018:07:04 21:02:11,"(35.97846944444445, -86.776)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2884-2014-06-09 002538.JPG,1881637,2014:06:08 19:25:37,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2885-2014-06-09 011341.JPG,2191099,2014:06:08 20:13:40,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2885-2019-08-25 022025.JPG,1409499,2018:07:04 21:02:20,"(35.97846944444445, -86.776)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2886-2014-06-09 011348.JPG,1703268,2014:06:08 20:13:47,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2886-2020-05-22 133744.JPG,1131046,2018:07:04 21:02:23,"(35.97846944444445, -86.776)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2887-2014-06-09 171844.JPG,2084907,2014:06:09 12:18:43,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2888-2014-06-14 030312.JPG,2342067,2014:06:13 22:03:11,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2889-2014-06-14 030333.JPG,2275932,2014:06:13 22:03:32,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2890-2014-06-17 141250.JPG,1754786,2014:06:17 09:12:49,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2891-2014-06-17 200832.JPG,1932180,2014:06:17 15:08:31,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2891-2019-08-25 022027.JPG,1080180,2018:07:04 21:11:31,"(35.978436111111115, -86.77604722222222)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2892-2014-06-18 011718.JPG,2126869,2014:06:17 20:17:17,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2893-2014-06-18 011725.JPG,2073447,2014:06:17 20:17:24,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2894-2014-06-20 155520.JPG,1833572,2014:06:20 10:55:19,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2895-2014-06-27 000530.JPG,2020198,2014:06:26 19:05:29,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2897-2014-06-28 182243.JPG,2386323,2014:06:28 13:22:42,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2898-2014-07-01 012549.JPG,2067282,2014:06:30 20:25:48,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2899-2014-07-01 012556.JPG,1867885,2014:06:30 20:25:55,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2899-2019-08-25 022026.JPG,1234766,2018:07:04 21:15:44,"(35.97843888888889, -86.775925)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2900-2014-07-01 012604.JPG,1910523,2014:06:30 20:26:03,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2901-2014-07-01 012604.JPG,1885238,2014:06:30 20:26:04,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2901-2018-07-05 021645.JPG,1032410,2018:07:04 21:16:45,"(35.97842777777778, -86.77598611111111)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2902-2014-07-01 012611.JPG,1853800,2014:06:30 20:26:10,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2903-2014-07-01 012612.JPG,1845514,2014:06:30 20:26:11,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2904-2014-07-01 012634.JPG,1689818,2014:06:30 20:26:33,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2905-2014-07-01 012641.JPG,2724620,2014:06:30 20:26:40,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2906-2014-07-01 012645.JPG,1598194,2014:06:30 20:26:44,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2906-2018-07-08 182243.JPG,1695563,2018:07:08 13:22:37,"(35.955197222222225, -86.79734166666667)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2907-2014-07-01 012703.JPG,2150169,2014:06:30 20:27:03,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2907-2018-07-08 182252.JPG,1681864,2018:07:08 13:22:49,"(35.955197222222225, -86.79734166666667)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2908-2014-07-01 012708.JPG,1509894,2014:06:30 20:27:08,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2909-2014-07-01 012712.JPG,1406086,2014:06:30 20:27:11,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2911-2014-07-01 012726.JPG,2210990,2014:06:30 20:27:25,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2912-2014-07-01 012727.JPG,2230704,2014:06:30 20:27:26,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2912-2018-07-09 030604.JPG,2834646,2018:07:08 13:24:52,"(35.95520277777778, -86.79753055555555)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2913-2014-07-01 012737.JPG,2225176,2014:06:30 20:27:37,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2914-2014-07-01 012738.JPG,2176898,2014:06:30 20:27:37,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2915-2014-07-01 012739.JPG,2202130,2014:06:30 20:27:38,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2915-2018-07-09 030603.JPG,1878816,2018:07:08 13:25:25,"(35.95515833333334, -86.79740277777778)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2916-2014-07-01 012745.JPG,1960649,2014:06:30 20:27:45,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2916-2018-07-09 030603.JPG,2140388,2018:07:08 13:25:40,"(35.95516666666667, -86.79740833333334)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2917-2018-07-14 031529.JPG,2217532,2018:07:08 13:26:29,"(35.95517777777778, -86.79743888888889)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2918-2018-07-14 031529.JPG,1184427,2018:07:09 19:26:42,"(35.95511944444445, -86.79741666666666)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2919-2021-09-14 025925.JPG,2401872,2018:07:12 19:13:29,"(35.955172222222224, -86.79740277777778)"
/mnt/4C74F47B74F468DA/Pictures/IMG_2921-2018-07-15 132308.JPG,1807912,2018:07:14 14:14:52,"(35.95526111111111, -86.79720277777777)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3387-2014-11-24 200455.JPG,2076317,2014:11:24 14:04:55,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3387-2019-01-07 015915.JPG,2808319,2019:01:05 12:04:30,"(35.88709166666666, -84.1494)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3388-2014-11-24 200500-2014-11-24 200500.JPG,2102926,2014:11:24 14:05:00,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3388-2014-11-24 200500.JPG,2102926,2014:11:24 14:05:00,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3388-2019-01-07 015914.JPG,295476,2019:01:05 12:49:01,"(35.887116666666664, -84.14936944444445)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3389-2014-11-24 200502-2014-11-24 200502.JPG,2123471,2014:11:24 14:05:01,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3389-2014-11-24 200502.JPG,2123471,2014:11:24 14:05:01,"(None, None)"
